N,R,D,GPU,Network,Approach,transfer_NxN,matmul_NxN,matmul_NxN_x_Nx1,matmul_RxN_x_NxN,inverse_NxN,transfer_Nx1,transfer_RxN,addition_NxN,addition_Nx1,addition_RxN,randgen_NxN,randgen_Nx1,decentralized_protocol,total_time
100,100,2,A40,Residential,floating-point,0.0364,0.00014171302318573,0.00015946239000186324,0.000129000807646662,0.0007769949734210968,0.030064,0.0364,2.6044202968478203e-05,2.60442029684782e-07,5.437422078102827e-05,0.00015542283654212952,0.00015542283654212952,1.4467599030850216,1.8315317916801035
100,100,2,A40,Residential,fixed-point,0.0364,0.00015874039381742479,0.00031996979378163816,0.00031682540429756045,0.0007769949734210968,0.030064,0.0364,2.721298951655626e-05,2.7212989516556263e-07,2.5318004190921783e-05,0.0005110077559947968,0.0005110077559947968,1.4467599030850216,1.8340502152448355
100,100,2,A40,Enterprise,floating-point,0.00564,0.00014171302318573,0.00015946239000186324,0.000129000807646662,0.0007769949734210968,0.0050064,0.00564,2.6044202968478203e-05,2.60442029684782e-07,5.437422078102827e-05,0.00015542283654212952,0.00015542283654212952,0.4121170083404861,0.47563609693556796
100,100,2,A40,Enterprise,fixed-point,0.00564,0.00015874039381742479,0.00031996979378163816,0.00031682540429756045,0.0007769949734210968,0.0050064,0.00564,2.721298951655626e-05,2.7212989516556263e-07,2.5318004190921783e-05,0.0005110077559947968,0.0005110077559947968,0.4121170083404861,0.47815452050030005
100,100,2,A40,DataCenter,floating-point,0.000564,0.00014171302318573,0.00015946239000186324,0.000129000807646662,0.0007769949734210968,0.00050064,0.000564,2.6044202968478203e-05,2.60442029684782e-07,5.437422078102827e-05,0.00015542283654212952,0.00015542283654212952,0.22636317485619134,0.2357569834512732
100,100,2,A40,DataCenter,fixed-point,0.000564,0.00015874039381742479,0.00031996979378163816,0.00031682540429756045,0.0007769949734210968,0.00050064,0.000564,2.721298951655626e-05,2.7212989516556263e-07,2.5318004190921783e-05,0.0005110077559947968,0.0005110077559947968,0.22636317485619134,0.23827540701600525
100,100,2,A100 80GB PCIe,Residential,floating-point,0.0364,0.0001538556069135666,0.00010765716433525085,8.785600463549297e-05,0.00043457448482513427,0.030064,0.0364,3.903855880101522e-05,3.903855880101522e-07,2.9645860195159912e-05,0.0002764094155281782,0.0002764094155281782,1.4467599030850216,1.8314960922247252
100,100,2,A100 80GB PCIe,Residential,fixed-point,0.0364,0.0002517428249120712,0.00022846211989720663,0.0002977525194485982,0.00043457448482513427,0.030064,0.0364,0.00013121341665585837,1.3121341665585837e-06,3.3696492513020836e-05,0.0008201859425753355,0.0008201859425753355,1.4467599030850216,1.835813619960952
100,100,2,A100 80GB PCIe,Enterprise,floating-point,0.00564,0.0001538556069135666,0.00010765716433525085,8.785600463549297e-05,0.00043457448482513427,0.0050064,0.00564,3.903855880101522e-05,3.903855880101522e-07,2.9645860195159912e-05,0.0002764094155281782,0.0002764094155281782,0.4121170083404861,0.47560039748019006
100,100,2,A100 80GB PCIe,Enterprise,fixed-point,0.00564,0.0002517428249120712,0.00022846211989720663,0.0002977525194485982,0.00043457448482513427,0.0050064,0.00564,0.00013121341665585837,1.3121341665585837e-06,3.3696492513020836e-05,0.0008201859425753355,0.0008201859425753355,0.4121170083404861,0.4799179252164168
100,100,2,A100 80GB PCIe,DataCenter,floating-point,0.000564,0.0001538556069135666,0.00010765716433525085,8.785600463549297e-05,0.00043457448482513427,0.00050064,0.000564,3.903855880101522e-05,3.903855880101522e-07,2.9645860195159912e-05,0.0002764094155281782,0.0002764094155281782,0.22636317485619134,0.23572128399589526
100,100,2,A100 80GB PCIe,DataCenter,fixed-point,0.000564,0.0002517428249120712,0.00022846211989720663,0.0002977525194485982,0.00043457448482513427,0.00050064,0.000564,0.00013121341665585837,1.3121341665585837e-06,3.3696492513020836e-05,0.0008201859425753355,0.0008201859425753355,0.22636317485619134,0.24003881173212196
100,100,2,H200,Residential,floating-point,0.0364,0.00015594707801938056,7.029063999652863e-05,7.07705815633138e-05,0.0005039546173065901,0.030064,0.0364,2.3974105715751648e-05,2.397410571575165e-07,2.34538068373998e-05,0.00012928135693073272,0.00012928135693073272,1.4467599030850216,1.8307230809929307
100,100,2,H200,Residential,fixed-point,0.0364,0.0011442198418080806,0.00020125073691209158,0.00016438961029052734,0.0005039546173065901,0.030064,0.0364,2.5124599536259968e-05,2.5124599536259967e-07,2.3235877354939778e-05,0.0003285003826022148,0.0003285003826022148,1.4467599030850216,1.8381298211691115
100,100,2,H200,Enterprise,floating-point,0.00564,0.00015594707801938056,7.029063999652863e-05,7.07705815633138e-05,0.0005039546173065901,0.0050064,0.00564,2.3974105715751648e-05,2.397410571575165e-07,2.34538068373998e-05,0.00012928135693073272,0.00012928135693073272,0.4121170083404861,0.474827386248395
100,100,2,H200,Enterprise,fixed-point,0.00564,0.0011442198418080806,0.00020125073691209158,0.00016438961029052734,0.0005039546173065901,0.0050064,0.00564,2.5124599536259968e-05,2.5124599536259967e-07,2.3235877354939778e-05,0.0003285003826022148,0.0003285003826022148,0.4121170083404861,0.4822341264245761
100,100,2,H200,DataCenter,floating-point,0.000564,0.00015594707801938056,7.029063999652863e-05,7.07705815633138e-05,0.0005039546173065901,0.00050064,0.000564,2.3974105715751648e-05,2.397410571575165e-07,2.34538068373998e-05,0.00012928135693073272,0.00012928135693073272,0.22636317485619134,0.23494827276410032
100,100,2,H200,DataCenter,fixed-point,0.000564,0.0011442198418080806,0.00020125073691209158,0.00016438961029052734,0.0005039546173065901,0.00050064,0.000564,2.5124599536259968e-05,2.5124599536259967e-07,2.3235877354939778e-05,0.0003285003826022148,0.0003285003826022148,0.22636317485619134,0.24235501294028128
100,100,2,NVIDIA H100,Residential,floating-point,0.0364,7.489700801670552e-05,0.0001381412148475647,0.00010878841082255046,0.0003486979752779007,0.030064,0.0364,3.461229304472605e-05,3.461229304472605e-07,3.424969812234243e-05,0.00016451478004455566,0.00016451478004455566,1.4467599030850216,1.8306256965059622
100,100,2,NVIDIA H100,Residential,fixed-point,0.0364,0.00018404400907456875,0.0006198585033416748,0.0003875301529963811,0.0003486979752779007,0.030064,0.0364,0.00020234969755013785,2.0234969755013786e-06,4.115017751852671e-05,0.0003462843596935272,0.0003462843596935272,1.4467599030850216,1.8353126140568239
100,100,2,NVIDIA H100,Enterprise,floating-point,0.00564,7.489700801670552e-05,0.0001381412148475647,0.00010878841082255046,0.0003486979752779007,0.0050064,0.00564,3.461229304472605e-05,3.461229304472605e-07,3.424969812234243e-05,0.00016451478004455566,0.00016451478004455566,0.4121170083404861,0.47473000176142677
100,100,2,NVIDIA H100,Enterprise,fixed-point,0.00564,0.00018404400907456875,0.0006198585033416748,0.0003875301529963811,0.0003486979752779007,0.0050064,0.00564,0.00020234969755013785,2.0234969755013786e-06,4.115017751852671e-05,0.0003462843596935272,0.0003462843596935272,0.4121170083404861,0.4794169193122886
100,100,2,NVIDIA H100,DataCenter,floating-point,0.000564,7.489700801670552e-05,0.0001381412148475647,0.00010878841082255046,0.0003486979752779007,0.00050064,0.000564,3.461229304472605e-05,3.461229304472605e-07,3.424969812234243e-05,0.00016451478004455566,0.00016451478004455566,0.22636317485619134,0.23485088827713196
100,100,2,NVIDIA H100,DataCenter,fixed-point,0.000564,0.00018404400907456875,0.0006198585033416748,0.0003875301529963811,0.0003486979752779007,0.00050064,0.000564,0.00020234969755013785,2.0234969755013786e-06,4.115017751852671e-05,0.0003462843596935272,0.0003462843596935272,0.22636317485619134,0.23953780582799383
100,100,3,A40,Residential,floating-point,0.0364,0.00014171302318573,0.00015946239000186324,0.000129000807646662,0.0007769949734210968,0.030064,0.0364,2.6044202968478203e-05,2.60442029684782e-07,5.437422078102827e-05,0.00015542283654212952,0.00015542283654212952,1.0512205411592297,1.4359924297543116
100,100,3,A40,Residential,fixed-point,0.0364,0.00015874039381742479,0.00031996979378163816,0.00031682540429756045,0.0007769949734210968,0.030064,0.0364,2.721298951655626e-05,2.7212989516556263e-07,2.5318004190921783e-05,0.0005110077559947968,0.0005110077559947968,1.0512205411592297,1.4385108533190436
100,100,3,A40,Enterprise,floating-point,0.00564,0.00014171302318573,0.00015946239000186324,0.000129000807646662,0.0007769949734210968,0.0050064,0.00564,2.6044202968478203e-05,2.60442029684782e-07,5.437422078102827e-05,0.00015542283654212952,0.00015542283654212952,0.29944558430518603,0.3629646729002679
100,100,3,A40,Enterprise,fixed-point,0.00564,0.00015874039381742479,0.00031996979378163816,0.00031682540429756045,0.0007769949734210968,0.0050064,0.00564,2.721298951655626e-05,2.7212989516556263e-07,2.5318004190921783e-05,0.0005110077559947968,0.0005110077559947968,0.29944558430518603,0.365483096465
100,100,3,A40,DataCenter,floating-point,0.000564,0.00014171302318573,0.00015946239000186324,0.000129000807646662,0.0007769949734210968,0.00050064,0.000564,2.6044202968478203e-05,2.60442029684782e-07,5.437422078102827e-05,0.00015542283654212952,0.00015542283654212952,0.1644762331769315,0.17387004177201335
100,100,3,A40,DataCenter,fixed-point,0.000564,0.00015874039381742479,0.00031996979378163816,0.00031682540429756045,0.0007769949734210968,0.00050064,0.000564,2.721298951655626e-05,2.7212989516556263e-07,2.5318004190921783e-05,0.0005110077559947968,0.0005110077559947968,0.1644762331769315,0.1763884653367454
100,100,3,A100 80GB PCIe,Residential,floating-point,0.0364,0.0001538556069135666,0.00010765716433525085,8.785600463549297e-05,0.00043457448482513427,0.030064,0.0364,3.903855880101522e-05,3.903855880101522e-07,2.9645860195159912e-05,0.0002764094155281782,0.0002764094155281782,1.0512205411592297,1.4359567302989333
100,100,3,A100 80GB PCIe,Residential,fixed-point,0.0364,0.0002517428249120712,0.00022846211989720663,0.0002977525194485982,0.00043457448482513427,0.030064,0.0364,0.00013121341665585837,1.3121341665585837e-06,3.3696492513020836e-05,0.0008201859425753355,0.0008201859425753355,1.0512205411592297,1.4402742580351602
100,100,3,A100 80GB PCIe,Enterprise,floating-point,0.00564,0.0001538556069135666,0.00010765716433525085,8.785600463549297e-05,0.00043457448482513427,0.0050064,0.00564,3.903855880101522e-05,3.903855880101522e-07,2.9645860195159912e-05,0.0002764094155281782,0.0002764094155281782,0.29944558430518603,0.36292897344489
100,100,3,A100 80GB PCIe,Enterprise,fixed-point,0.00564,0.0002517428249120712,0.00022846211989720663,0.0002977525194485982,0.00043457448482513427,0.0050064,0.00564,0.00013121341665585837,1.3121341665585837e-06,3.3696492513020836e-05,0.0008201859425753355,0.0008201859425753355,0.29944558430518603,0.36724650118111674
100,100,3,A100 80GB PCIe,DataCenter,floating-point,0.000564,0.0001538556069135666,0.00010765716433525085,8.785600463549297e-05,0.00043457448482513427,0.00050064,0.000564,3.903855880101522e-05,3.903855880101522e-07,2.9645860195159912e-05,0.0002764094155281782,0.0002764094155281782,0.1644762331769315,0.17383434231663542
100,100,3,A100 80GB PCIe,DataCenter,fixed-point,0.000564,0.0002517428249120712,0.00022846211989720663,0.0002977525194485982,0.00043457448482513427,0.00050064,0.000564,0.00013121341665585837,1.3121341665585837e-06,3.3696492513020836e-05,0.0008201859425753355,0.0008201859425753355,0.1644762331769315,0.17815187005286212
100,100,3,H200,Residential,floating-point,0.0364,0.00015594707801938056,7.029063999652863e-05,7.07705815633138e-05,0.0005039546173065901,0.030064,0.0364,2.3974105715751648e-05,2.397410571575165e-07,2.34538068373998e-05,0.00012928135693073272,0.00012928135693073272,1.0512205411592297,1.4351837190671388
100,100,3,H200,Residential,fixed-point,0.0364,0.0011442198418080806,0.00020125073691209158,0.00016438961029052734,0.0005039546173065901,0.030064,0.0364,2.5124599536259968e-05,2.5124599536259967e-07,2.3235877354939778e-05,0.0003285003826022148,0.0003285003826022148,1.0512205411592297,1.4425904592433196
100,100,3,H200,Enterprise,floating-point,0.00564,0.00015594707801938056,7.029063999652863e-05,7.07705815633138e-05,0.0005039546173065901,0.0050064,0.00564,2.3974105715751648e-05,2.397410571575165e-07,2.34538068373998e-05,0.00012928135693073272,0.00012928135693073272,0.29944558430518603,0.36215596221309493
100,100,3,H200,Enterprise,fixed-point,0.00564,0.0011442198418080806,0.00020125073691209158,0.00016438961029052734,0.0005039546173065901,0.0050064,0.00564,2.5124599536259968e-05,2.5124599536259967e-07,2.3235877354939778e-05,0.0003285003826022148,0.0003285003826022148,0.29944558430518603,0.369562702389276
100,100,3,H200,DataCenter,floating-point,0.000564,0.00015594707801938056,7.029063999652863e-05,7.07705815633138e-05,0.0005039546173065901,0.00050064,0.000564,2.3974105715751648e-05,2.397410571575165e-07,2.34538068373998e-05,0.00012928135693073272,0.00012928135693073272,0.1644762331769315,0.17306133108484048
100,100,3,H200,DataCenter,fixed-point,0.000564,0.0011442198418080806,0.00020125073691209158,0.00016438961029052734,0.0005039546173065901,0.00050064,0.000564,2.5124599536259968e-05,2.5124599536259967e-07,2.3235877354939778e-05,0.0003285003826022148,0.0003285003826022148,0.1644762331769315,0.18046807126102143
100,100,3,NVIDIA H100,Residential,floating-point,0.0364,7.489700801670552e-05,0.0001381412148475647,0.00010878841082255046,0.0003486979752779007,0.030064,0.0364,3.461229304472605e-05,3.461229304472605e-07,3.424969812234243e-05,0.00016451478004455566,0.00016451478004455566,1.0512205411592297,1.4350863345801703
100,100,3,NVIDIA H100,Residential,fixed-point,0.0364,0.00018404400907456875,0.0006198585033416748,0.0003875301529963811,0.0003486979752779007,0.030064,0.0364,0.00020234969755013785,2.0234969755013786e-06,4.115017751852671e-05,0.0003462843596935272,0.0003462843596935272,1.0512205411592297,1.439773252131032
100,100,3,NVIDIA H100,Enterprise,floating-point,0.00564,7.489700801670552e-05,0.0001381412148475647,0.00010878841082255046,0.0003486979752779007,0.0050064,0.00564,3.461229304472605e-05,3.461229304472605e-07,3.424969812234243e-05,0.00016451478004455566,0.00016451478004455566,0.29944558430518603,0.3620585777261267
100,100,3,NVIDIA H100,Enterprise,fixed-point,0.00564,0.00018404400907456875,0.0006198585033416748,0.0003875301529963811,0.0003486979752779007,0.0050064,0.00564,0.00020234969755013785,2.0234969755013786e-06,4.115017751852671e-05,0.0003462843596935272,0.0003462843596935272,0.29944558430518603,0.3667454952769885
100,100,3,NVIDIA H100,DataCenter,floating-point,0.000564,7.489700801670552e-05,0.0001381412148475647,0.00010878841082255046,0.0003486979752779007,0.00050064,0.000564,3.461229304472605e-05,3.461229304472605e-07,3.424969812234243e-05,0.00016451478004455566,0.00016451478004455566,0.1644762331769315,0.17296394659787212
100,100,3,NVIDIA H100,DataCenter,fixed-point,0.000564,0.00018404400907456875,0.0006198585033416748,0.0003875301529963811,0.0003486979752779007,0.00050064,0.000564,0.00020234969755013785,2.0234969755013786e-06,4.115017751852671e-05,0.0003462843596935272,0.0003462843596935272,0.1644762331769315,0.177650864148734
100,100,4,A40,Residential,floating-point,0.0364,0.00014171302318573,0.00015946239000186324,0.000129000807646662,0.0007769949734210968,0.030064,0.0364,2.6044202968478203e-05,2.60442029684782e-07,5.437422078102827e-05,0.00015542283654212952,0.00015542283654212952,0.877863550873478,1.26263543946856
100,100,4,A40,Residential,fixed-point,0.0364,0.00015874039381742479,0.00031996979378163816,0.00031682540429756045,0.0007769949734210968,0.030064,0.0364,2.721298951655626e-05,2.7212989516556263e-07,2.5318004190921783e-05,0.0005110077559947968,0.0005110077559947968,0.877863550873478,1.265153863033292
100,100,4,A40,Enterprise,floating-point,0.00564,0.00014171302318573,0.00015946239000186324,0.000129000807646662,0.0007769949734210968,0.0050064,0.00564,2.6044202968478203e-05,2.60442029684782e-07,5.437422078102827e-05,0.00015542283654212952,0.00015542283654212952,0.2500639529376514,0.31358304153273325
100,100,4,A40,Enterprise,fixed-point,0.00564,0.00015874039381742479,0.00031996979378163816,0.00031682540429756045,0.0007769949734210968,0.0050064,0.00564,2.721298951655626e-05,2.7212989516556263e-07,2.5318004190921783e-05,0.0005110077559947968,0.0005110077559947968,0.2500639529376514,0.31610146509746534
100,100,4,A40,DataCenter,floating-point,0.000564,0.00014171302318573,0.00015946239000186324,0.000129000807646662,0.0007769949734210968,0.00050064,0.000564,2.6044202968478203e-05,2.60442029684782e-07,5.437422078102827e-05,0.00015542283654212952,0.00015542283654212952,0.13735242457474453,0.14674623316982638
100,100,4,A40,DataCenter,fixed-point,0.000564,0.00015874039381742479,0.00031996979378163816,0.00031682540429756045,0.0007769949734210968,0.00050064,0.000564,2.721298951655626e-05,2.7212989516556263e-07,2.5318004190921783e-05,0.0005110077559947968,0.0005110077559947968,0.13735242457474453,0.14926465673455844
100,100,4,A100 80GB PCIe,Residential,floating-point,0.0364,0.0001538556069135666,0.00010765716433525085,8.785600463549297e-05,0.00043457448482513427,0.030064,0.0364,3.903855880101522e-05,3.903855880101522e-07,2.9645860195159912e-05,0.0002764094155281782,0.0002764094155281782,0.877863550873478,1.2625997400131816
100,100,4,A100 80GB PCIe,Residential,fixed-point,0.0364,0.0002517428249120712,0.00022846211989720663,0.0002977525194485982,0.00043457448482513427,0.030064,0.0364,0.00013121341665585837,1.3121341665585837e-06,3.3696492513020836e-05,0.0008201859425753355,0.0008201859425753355,0.877863550873478,1.2669172677494085
100,100,4,A100 80GB PCIe,Enterprise,floating-point,0.00564,0.0001538556069135666,0.00010765716433525085,8.785600463549297e-05,0.00043457448482513427,0.0050064,0.00564,3.903855880101522e-05,3.903855880101522e-07,2.9645860195159912e-05,0.0002764094155281782,0.0002764094155281782,0.2500639529376514,0.31354734207735535
100,100,4,A100 80GB PCIe,Enterprise,fixed-point,0.00564,0.0002517428249120712,0.00022846211989720663,0.0002977525194485982,0.00043457448482513427,0.0050064,0.00564,0.00013121341665585837,1.3121341665585837e-06,3.3696492513020836e-05,0.0008201859425753355,0.0008201859425753355,0.2500639529376514,0.3178648698135821
100,100,4,A100 80GB PCIe,DataCenter,floating-point,0.000564,0.0001538556069135666,0.00010765716433525085,8.785600463549297e-05,0.00043457448482513427,0.00050064,0.000564,3.903855880101522e-05,3.903855880101522e-07,2.9645860195159912e-05,0.0002764094155281782,0.0002764094155281782,0.13735242457474453,0.14671053371444845
100,100,4,A100 80GB PCIe,DataCenter,fixed-point,0.000564,0.0002517428249120712,0.00022846211989720663,0.0002977525194485982,0.00043457448482513427,0.00050064,0.000564,0.00013121341665585837,1.3121341665585837e-06,3.3696492513020836e-05,0.0008201859425753355,0.0008201859425753355,0.13735242457474453,0.15102806145067516
100,100,4,H200,Residential,floating-point,0.0364,0.00015594707801938056,7.029063999652863e-05,7.07705815633138e-05,0.0005039546173065901,0.030064,0.0364,2.3974105715751648e-05,2.397410571575165e-07,2.34538068373998e-05,0.00012928135693073272,0.00012928135693073272,0.877863550873478,1.2618267287813871
